I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
99-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-3958.769102,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-2540.532744,True,diffusion-lpdoh2-rxt,1.3698533700179716,0.0
01-rxt,,03-c1,,-2540.501345,True,02-ts-rxt-c1,19.703172681622316,7.351902007634705
03-c1,,05-c2,,-2540.504228,True,04-ts-c1-c2,5.542791945709063,41.21545542545563
05-c2,h2o,09-c3,boh3,-2616.920762,True,07-ts-c2-c3,11.00714519580275,5.1518534891750125
09-c3,,11-c4,,-2364.598475,True,10-ts-c3-c4,36.45203035372401,12.07704899636031
11-c4,,naphh-c,00-lpdoh2,-2364.617721,True,diffusion-c4-pdt,0.0,33.24671152017463
01-rxt,,13-t1,,-2540.51119,True,12-ts-rxt-t1,13.525341061137583,13.891806644242417
13-t1,,15-t2,,-2540.517935,True,14-ts-t1-t2,9.659254660694057,18.411758006649006
15-t2,h2o,19-t3,boh3,-2616.866606,True,17-ts-t2-t3,30.78812906298242,33.607529517037634
19-t3,,21-t4,,-2364.614085,True,20-ts-t3-t4,21.128874402288364,18.306336400511263
21-t4,,naphh-t,00-lpdoh2,-2364.643258,True,diffusion-t4-pdt,0.0,17.221999880604244
15-t2,,28-xa,boh3,-2540.531283,True,27-ts-t2-xa,10.035760396737212,13.29630007173273
28-xa,h2o,19-t3,,-2364.628993,True,29-ts-xa-t3,12.215101099547597,11.773961878607293
15-t2,,31-xb,boh3,-2540.533139,True,30-ts-t2-xb,8.871102652752898,29.459063814490403
31-xb,h2o,19-t3,,-2364.635669,True,32-ts-xb-t3,25.353268762216395,7.584708054534107
