line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,3.7885892345877332
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,0.32222615982673875
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,0.32222615982673875
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,15.856852832739818
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,4.98587721166244
1,8,C1-C2,True,True,True,top,-5.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,9.120537703776801
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-26.712768223838996
1,12,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-23.146631128896725
1,14,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-26.61299420365772
1,16,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-20.812923338190757
1,18,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-26.76171396898528
1,20,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-16.990762342750553
1,22,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-20.45712541751155
1,24,C3-C4,True,True,True,top,-7.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,10.291470543490245
1,26,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,-6.693958233005404
1,28,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-3.227595158244409
1,30,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,0.32222615982673875
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,8.152290452147792
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,1.4203678898812726
2,8,T1-T2,True,True,True,bottom,1.5,#204195,#204195,o,14-ts-t1-t2,14.637601757082036
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-4.807664495580429
2,12,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,2.2135402382507463
2,14,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,-1.2528228365102485
2,16,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,11.708387130192584
2,18,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,-3.280933735187778
2,20,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,0.18542933957321672
2,22,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-4.8108020427315985
2,24,T3-T4,True,True,True,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,15.330999821311082
2,26,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-9.81958335253552
2,28,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-6.3532202777745255
2,30,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
3,10,T2,False,False,False,top,-1.5,lightseagreen,lightseagreen,o,15-t2,-4.807664495580429
3,11,T2 // L,False,True,True,top,-1.5,lightseagreen,lightseagreen,x,diffusion,4.288714353898
3,12,T2 + L,True,True,False,top,-1.5,lightseagreen,lightseagreen,o,39-t2-lig,0.8223512791370059
3,13,T2-P1,True,True,True,bottom,1.5,lightseagreen,lightseagreen,o,40-ts-t2-p1,9.771265117732618
3,14,P1 + B(OH)$_3$,True,True,False,bottom,3.5,lightseagreen,lightseagreen,o,41-p1-boh3,-25.61023392651725
3,15,P1 // B(OH)$_3$,False,True,True,top,-1.5,lightseagreen,lightseagreen,x,diffusion,-22.143870851756255
3,16,P1,True,True,False,top,-1.5,lightseagreen,lightseagreen,o,42-p1,-32.029656727579734
3,17,P1 // H$_2$O,False,True,True,top,-1.5,lightseagreen,lightseagreen,x,diffusion,-18.784184666352125
3,18,P1 + H$_2$O,True,True,False,bottom,3.5,lightseagreen,lightseagreen,o,45-p1-h2o,-22.25054774111312
3,19,T3-P1,True,True,True,bottom,1.5,lightseagreen,lightseagreen,o,44-ts-t3-p1,10.19859912795469
3,20,T3 + L,True,True,False,top,-5.5,lightseagreen,lightseagreen,o,43-t3-lig,2.8466971203199853
3,21,T3 // L,False,True,True,top,-1.5,lightseagreen,lightseagreen,x,diffusion,6.31306019508098
3,22,T3,False,False,False,top,-1.5,lightseagreen,lightseagreen,o,19-t3,-4.8108020427315985
